Title,EN Title,Producer,Year,YT Link,Views,Lyrics,Notes
Mesmerizer,,Satsuki,2024,Video,"213,017,364",Lyrics,Title is English
少女A ,Young Girl A,siinamota,2013,Video,"211,846,782",Lyrics,
グッバイ宣言 ,Goodbye Declaration,Chinozo,2020,Video,"157,748,328",Lyrics,
ECHO,,Crusher,2014,Video,"128,519,010",Lyrics,English song
Tetoris,,Hiiragi Magnetite,2024,Video,"128,285,923",Lyrics,Title is English
Monitoring,,DECO*27,2024,Video,"126,379,448",Lyrics,Title is English
Rabbit Hole,,DECO*27,2023,Video,"122,349,274",Lyrics,Title is English
愛して愛して愛して ,Aishite Aishite Aishite,Kikuo,2015,Video,"121,493,820",Lyrics,
強風オールバック,Kyoufuu All Back,Yukopi,2023,Video,"116,931,424",Lyrics,
きゅうくらりん ,Kyu-Kurarin,いよわ (Iyowa),2021,Video,"115,649,677",Lyrics,
BUTCHER VANITY,,FLAVOR FOLEY,2024,Video,"110,449,318",Lyrics,Title is English
オーバーライド ,Override,吉田夜世 (Yoshida Yasei),2023,Video,"107,595,798",Lyrics,
KING,,Kanaria,2020,Video,"105,470,109",Lyrics,Title is English
"
混沌ブギ",Konton Boogie,jon-YAKITORI,2023,Video,"103,634,899",Lyrics,
ラグトレイン,Lagtrain,稲葉曇 (Inabakumori),2022,Video,"101,643,653",Lyrics,
ヴァンパイア ,The Vampire,DECO*27,2021,Video,"98,288,489",Lyrics,
砂の惑星 ,Dune,hachi,2017,Video,"96,704,264",Lyrics,
Lost Umbrella,,稲葉曇 (Inabakumori),2018,Video,"96,110,268",Lyrics,Title is English
神っぽいな,God-ish,PinocchioP,2021,Video,"92,400,967",Lyrics,
ROKI,,mikitoP,2018,Video,"91,185,772",Lyrics,Title is English
"
脳漿炸裂ガール ",Brain Fluid Explosion Girl,れるりり(rerulili),2013,Video,"88,692,042",Lyrics,
ヒバナ,Hibana,DECO*27,2017,Video,"84,624,004",Lyrics,
千本桜,Senbonzakura,Kurousa-P,2014,Video,"83,832,976",Lyrics,
マトリョシカ,Matryoshka,hachi,2013,Video,"83,799,536",Lyrics,
ロストワンの号哭,Lost One's Weeping,Neru,2017,Video,"80,349,869",Lyrics,
Miku,,Anamanaguchi,2016,Video,"79,369,360",Lyrics,English song
Goodbye To A World,,Porter Robinson,2014,Video,"77,555,785",Lyrics,English song
フォニイ,Phony,ツミキ (tsumiki),2021,Video,"77,196,969",Lyrics,
アンノウン・マザーグース,Unknown Mother-Goose,wowaka,2017,Video,"76,363,799",Lyrics,
 ベノム,Venom,かいりきベア (Kairiki bear),2018,Video,"74,428,436",Lyrics,
